File,timeISO8601,timeInt64,Dd,DMA1,DMA2,DMA3,DMA4,DMA5,DMA6,DMA7,DMA8,DMA9,DMA10,DMA11,DMA12,DMA13,DMA14,DMA15,DMA16,DMA17,DMA18,DMA19,DMA20,DMA21,DMA22,DMA23,DMA24,DMA25,DMA26,DMA27,DMA28,DMA29,DMA30,DMA31,DMA32,DMA33,DMA34,DMA35,DMA36,DMA37,DMA38,DMA39,DMA40,DMA41,DMA42,DMA43,DMA44,DMA45,DMA46,DMA47,DMA48,DMA49,DMA50,DMA51,DMA52,DMA53,DMA54,DMA55,DMA56,DMA57,DMA58,DMA59,DMA60
Lower bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,199.98499,204.375,208.88,213.5,218.26,223.14499,228.15,233.315,238.605,244.05501,249.645,255.39001,261.31,267.38998,273.645,280.08002,286.695,293.505,300.515,307.71997,315.14,322.775,330.65503,338.74,347.07498,355.66998,364.505,373.62,382.995,392.66003,402.62,412.885,423.44998,434.345,445.57498,457.15,469.08002,481.38,494.055,507.13,520.605,534.49,548.83496,563.605,578.85,594.56494,610.78,627.49,644.745,662.54,680.9,699.83997,719.375,739.54004,760.33496,781.80005,803.96,826.81995,850.41504,874.76
Midpoints,2020-01-01T00:00:00.0,63713520000000,0.0,202.18,206.63,211.19,215.88,220.7,225.65,230.73,235.96,241.33,246.85,252.52,258.35,264.35,270.52,276.86,283.39,290.1,297.01,304.12,311.43,318.96,326.71,334.7,342.91,351.37,360.09,369.06,378.31,387.83,397.64,407.75,418.17,428.9,439.96,451.36,463.12,475.23,487.72,500.59,513.87,527.55,541.66,556.22,571.23,586.71,602.67,619.14,636.12,653.64,671.72,690.37,709.61,729.46,749.94,771.07,792.88,815.39,838.62,862.59,887.33
Upper bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,204.375,208.88,213.5,218.26,223.14499,228.15,233.315,238.605,244.05501,249.645,255.39001,261.31,267.38998,273.645,280.08002,286.695,293.505,300.515,307.71997,315.14,322.775,330.65503,338.74,347.07498,355.66998,364.505,373.62,382.995,392.66003,402.62,412.885,423.44998,434.345,445.57498,457.15,469.08002,481.38,494.055,507.13,520.605,534.49,548.83496,563.605,578.85,594.56494,610.78,627.49,644.745,662.54,680.9,699.83997,719.375,739.54004,760.33496,781.80005,803.96,826.81995,850.41504,874.76,899.9
sgpaoshtdma/sgpaoshtdmaE13.a1.20200214.000231.custom.cdf,2020-02-14T00:34:06.0,63717323646000,250.0,0.0,0.0,9.501025e-5,0.003926277,0.058676034,0.05004627,0.0053420947,0.012365857,0.11387283,0.18962163,0.14062871,0.21516433,0.36989948,0.28462443,0.07292771,0.045553718,0.21491817,0.31869364,0.08216678,0.049462743,0.18007599,0.6567053,0.84318066,0.5002711,0.72190577,1.7907214,2.6249816,2.0899806,1.8529593,1.692281,1.198968,1.1033037,0.6440502,0.22737297,0.21921155,0.21308795,0.05654281,0.03139082,0.034359384,0.0034179578,0.00022870599,0.0,0.0,0.00011594971,0.0034911034,0.037615936,0.08327509,0.033821702,0.0030734318,0.0002374244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lower bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,40.0,41.0,42.015,43.07,44.145004,45.260002,46.395,47.57,48.765,49.995003,51.269997,52.57,53.9,55.285004,56.695,58.145,59.64,61.17,62.75,64.375,66.04001,67.759995,69.53,71.345,73.215,75.14,77.119995,79.16,81.265,83.425,85.66499,87.955,90.32001,92.759995,95.275,97.875,100.54,103.295,106.145004,109.08,112.115,115.245,118.47,121.82001,125.255005,128.82,132.505,136.31,140.255,144.31999,148.54001,152.9,157.42,162.1,166.94,171.95499,177.16501,182.55002,188.15,193.95001
Midpoints,2020-01-01T00:00:00.0,63713520000000,0.0,40.5,41.51,42.54,43.61,44.7,45.83,46.98,48.17,49.38,50.63,51.92,53.24,54.59,55.99,57.42,58.89,60.41,61.96,63.56,65.21,66.9,68.64,70.44,72.28,74.18,76.13,78.14,80.21,82.35,84.54,86.81,89.14,91.54,94.02,96.57,99.21,101.92,104.72,107.61,110.6,113.68,116.86,120.14,123.54,127.04,130.66,134.41,138.28,142.29,146.43,150.72,155.16,159.76,164.52,169.45,174.56,179.86,185.35,191.05,196.96
Upper bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,41.0,42.015,43.07,44.145004,45.260002,46.395,47.57,48.765,49.995003,51.269997,52.57,53.9,55.285004,56.695,58.145,59.64,61.17,62.75,64.375,66.04001,67.759995,69.53,71.345,73.215,75.14,77.119995,79.16,81.265,83.425,85.66499,87.955,90.32001,92.759995,95.275,97.875,100.54,103.295,106.145004,109.08,112.115,115.245,118.47,121.82001,125.255005,128.82,132.505,136.31,140.255,144.31999,148.54001,152.9,157.42,162.1,166.94,171.95499,177.16501,182.55002,188.15,193.95001,199.97
sgpaoshtdma/sgpaoshtdmaE13.a1.20200214.000231.custom.cdf,2020-02-14T00:40:25.0,63717324025000,50.0,0.34552264,0.060938153,0.08886978,0.3153623,0.97614735,1.8043839,2.8780084,5.1501107,9.167619,14.033979,18.881525,23.507645,27.497437,29.536575,28.695066,25.8139,20.11485,14.001673,9.035619,5.074841,2.9964612,1.6060945,0.66556454,0.33248726,0.22012568,0.047668267,0.0040819766,0.0006822601,0.0062946016,0.05338719,0.007905423,0.0062356154,0.059388854,0.077762164,0.021200184,0.06159929,0.07198,0.029314313,0.04813031,0.0047751656,0.00035875238,0.0,0.0,0.0,0.0,0.0,0.0002462277,0.0055688135,0.058761455,0.0055074417,0.00037692126,0.0,0.0,0.0,0.00025734038,0.0055741575,0.06130425,0.006167489,0.0077795056,0.096642315
Lower bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,79.990005,81.895004,83.84,85.845,87.895,90.005,92.175,94.395004,96.685,99.04,101.46,103.94,106.505005,109.125,111.840004,114.62,117.485,120.42999,123.47,126.59,129.80501,133.12,136.54001,140.055,143.685,147.42001,151.26999,155.25,159.355,163.585,167.945,172.45499,177.105,181.92,186.885,192.005,197.31,202.80002,208.45999,214.32,220.375,226.64499,233.13,239.85,246.79999,254.005,261.45502,269.185,277.19,285.49,294.09,303.005,312.25497,321.84003,331.8,342.12,352.83502,363.96002,375.505,387.495
Midpoints,2020-01-01T00:00:00.0,63713520000000,0.0,80.94,82.87,84.84,86.87,88.95,91.09,93.29,95.54,97.86,100.25,102.7,105.22,107.82,110.48,113.23,116.05,118.96,121.95,125.03,128.2,131.46,134.83,138.3,141.87,145.55,149.35,153.26,157.3,161.47,165.77,170.2,174.78,179.51,184.4,189.45,194.66,200.05,205.63,211.39,217.35,223.51,229.89,236.49,243.33,250.4,257.73,265.32,273.19,281.34,289.79,298.55,307.63,317.05,326.82,336.96,347.48,358.4,369.73,381.5,393.72
Upper bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,81.895004,83.84,85.845,87.895,90.005,92.175,94.395004,96.685,99.04,101.46,103.94,106.505005,109.125,111.840004,114.62,117.485,120.42999,123.47,126.59,129.80501,133.12,136.54001,140.055,143.685,147.42001,151.26999,155.25,159.355,163.585,167.945,172.45499,177.105,181.92,186.885,192.005,197.31,202.80002,208.45999,214.32,220.375,226.64499,233.13,239.85,246.79999,254.005,261.45502,269.185,277.19,285.49,294.09,303.005,312.25497,321.84003,331.8,342.12,352.83502,363.96002,375.505,387.495,399.945
sgpaoshtdma/sgpaoshtdmaE13.a1.20200214.000231.custom.cdf,2020-02-14T00:46:44.0,63717324404000,100.0,0.017943475,0.04823738,0.0048120683,0.0004099665,0.0008241963,0.017692497,0.18043607,0.30043492,0.3805776,0.683886,0.9209348,1.1124827,1.6688771,1.7646441,1.2734041,1.3048698,1.8621798,2.4662323,2.464331,1.9710985,2.2481384,2.6368256,2.042597,2.151671,2.8607004,1.7614383,0.6731217,0.54677844,0.47991604,0.20918183,0.055356678,0.028887743,0.038404293,0.0038551826,0.0048219003,0.0400447,0.050921157,0.035146926,0.0033711994,0.005328173,0.04459268,0.04083032,0.03714815,0.028075958,0.038964406,0.04381586,0.04175774,0.004329751,0.008200535,0.059291393,0.0049311356,0.00026119247,0.00039412157,0.0075447056,0.06345105,0.0053597614,0.0002697579,0.0,0.0,0.0
Lower bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,119.994995,122.785,125.65,128.595,131.625,134.73001,137.935,141.215,144.605,148.07999,151.655,155.345,159.13998,163.03,167.055,171.185,175.45,179.835,184.36002,189.01999,193.82501,198.775,203.875,209.14499,214.58002,220.175,225.965,231.94,238.095,244.465,251.03499,257.825,264.835,272.08496,279.57,287.305,295.31,303.59,312.15497,321.0,330.16,339.635,349.44498,359.59503,370.1,380.97998,392.24,403.90002,415.975,428.49,441.445,454.865,468.77502,483.19,498.12,513.595,529.645,546.27,563.51,581.385
Midpoints,2020-01-01T00:00:00.0,63713520000000,0.0,121.39,124.22,127.12,130.11,133.18,136.33,139.58,142.91,146.34,149.87,153.5,157.24,161.09,165.04,169.12,173.32,177.64,182.1,186.69,191.42,196.3,201.33,206.51,211.86,217.38,223.07,228.95,235.02,241.28,247.75,254.43,261.33,268.46,275.83,283.44,291.31,299.45,307.87,316.58,325.58,334.9,344.54,354.52,364.85,375.54,386.61,398.07,409.94,422.23,434.97,448.16,461.82,475.98,490.66,505.86,521.62,537.96,554.89,572.45,590.65
Upper bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,122.785,125.65,128.595,131.625,134.73001,137.935,141.215,144.605,148.07999,151.655,155.345,159.13998,163.03,167.055,171.185,175.45,179.835,184.36002,189.01999,193.82501,198.775,203.875,209.14499,214.58002,220.175,225.965,231.94,238.095,244.465,251.03499,257.825,264.835,272.08496,279.57,287.305,295.31,303.59,312.15497,321.0,330.16,339.635,349.44498,359.59503,370.1,380.97998,392.24,403.90002,415.975,428.49,441.445,454.865,468.77502,483.19,498.12,513.595,529.645,546.27,563.51,581.385,599.91504
sgpaoshtdma/sgpaoshtdmaE13.a1.20200214.000231.custom.cdf,2020-02-14T00:53:03.0,63717324783000,150.0,0.0,0.0,0.0019084897,0.027612004,0.09290075,0.14129364,0.20597103,0.19265686,0.22450644,0.47194493,0.7814758,0.69206965,0.8079648,1.0815887,1.1762335,0.9367951,0.5796675,0.65063244,1.0641546,1.0010875,0.87199396,1.5800017,2.6230173,3.14314,3.7232285,3.6859982,3.0412436,1.8196944,0.691654,0.24037209,0.2748176,0.14073521,0.0123157,0.009435069,0.04969398,0.004418668,0.0002401866,0.0,0.00024283108,0.0064762714,0.09282253,0.059482317,0.0049739457,0.008882972,0.057378955,0.0051863925,0.00025443983,0.0,0.00038605276,0.0080233235,0.061302826,0.008241615,0.01117664,0.06321443,0.006113865,0.00040092334,0.0,0.00053977076,0.010988405,0.12399609
Lower bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,159.98499,163.70001,167.51001,171.435,175.465,179.615,183.875,188.275,192.785,197.435,202.215,207.14499,212.215,217.45,222.83002,228.37,234.08499,239.97499,246.04999,252.31,258.76,265.42,272.28497,279.365,286.68,294.21997,302.0,310.04,318.335,326.90497,335.755,344.885,354.325,364.08,374.155,384.56,395.32,406.44,417.935,429.83002,442.10498,454.82,467.95502,481.545,495.58997,510.13004,525.16003,540.725,556.815,573.46,590.685,608.515,626.95996,646.06006,665.81995,686.28,707.45996,729.37,752.07,775.56494
Midpoints,2020-01-01T00:00:00.0,63713520000000,0.0,161.84,165.61,169.47,173.45,177.54,181.75,186.07,190.53,195.11,199.83,204.68,209.68,214.83,220.14,225.6,231.23,237.03,243.01,249.18,255.54,262.09,268.85,275.83,283.02,290.45,298.11,306.02,314.19,322.62,331.33,340.32,349.61,359.2,369.12,379.36,389.94,400.88,412.19,423.88,435.97,448.46,461.39,474.75,488.57,502.86,517.65,532.94,548.77,565.14,582.08,599.6,617.74,636.51,655.94,676.05,696.87,718.42,740.72,763.82,787.73
Upper bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,163.70001,167.51001,171.435,175.465,179.615,183.875,188.275,192.785,197.435,202.215,207.14499,212.215,217.45,222.83002,228.37,234.08499,239.97499,246.04999,252.31,258.76,265.42,272.28497,279.365,286.68,294.21997,302.0,310.04,318.335,326.90497,335.755,344.885,354.325,364.08,374.155,384.56,395.32,406.44,417.935,429.83002,442.10498,454.82,467.95502,481.545,495.58997,510.13004,525.16003,540.725,556.815,573.46,590.685,608.515,626.95996,646.06006,665.81995,686.28,707.45996,729.37,752.07,775.56494,799.895
sgpaoshtdma/sgpaoshtdmaE13.a1.20200214.000231.custom.cdf,2020-02-14T00:59:22.0,63717325162000,200.0,0.07855438,0.0,0.00020092097,0.003632767,0.03319726,0.017754355,0.03996306,0.1762097,0.17120367,0.09015698,0.17354926,0.3070685,0.20744938,0.22311126,0.33062622,0.14504138,0.07705803,0.22358851,0.4856532,0.42150137,0.41894346,0.5720564,0.97360116,1.4862473,1.6795038,1.6684809,1.8082603,1.7846985,1.1081482,0.8301654,0.66100824,0.25839013,0.24403334,0.34561616,0.04588495,0.0027564818,0.00024095304,0.00036352468,0.0098681785,0.093953855,0.0960131,0.027459633,0.0022378953,0.0001249005,0.0,0.0,0.0,0.0,0.0,0.0,0.00077491894,0.01595556,0.16460803,0.09930671,0.072558016,0.11088436,0.011926794,0.0015972409,0.012961875,0.13186762
Lower bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,199.98499,204.375,208.88,213.5,218.26,223.14499,228.15,233.315,238.605,244.05501,249.645,255.39001,261.31,267.38998,273.645,280.08002,286.695,293.505,300.515,307.71997,315.14,322.775,330.65503,338.74,347.07498,355.66998,364.505,373.62,382.995,392.66003,402.62,412.885,423.44998,434.345,445.57498,457.13998,469.08502,481.38,494.05,507.12,520.605,534.495,548.82996,563.605,578.83997,594.56494,610.78,627.495,644.74,662.54,680.9,699.83997,719.375,739.54004,760.33496,781.80005,803.96,826.81995,850.41504,874.76
